,	，,，,、,、
woo	互,戶,烏,嗚,護,狐,弧,污,胡,湖,糊,瑚,蝴,壺,滬,惡,芋,沍,楛,葫,捂,扈,汙,瓠,渙,鄔,穫,歍,鎢,鬍,鄠,嫮,嫭,滸,噁,衚,圬,臒,陓,冱,杇,魱,醐,芐,乎,岵,怙,枑,餬,洿,和,於,婟,塢,鶦,鶘,祜,韄,頀,靰,猢,摀,楜
wooi	匯,滙,會,回,徊,彙,薈,偎,磑,燴,僓,禬,佪,蛔,恛,洄,迴,痐,茴,蚘,猥,煨,隈,渨,椳
woon	換,援,緩,喚,渙,腕,碗,豌,玩,奐,垣,惋,爰,洹,莞,輐,剜,翫,貆,媛,脘,湲,澣,抏,忨,豲,狟,峘,荁,塭,晥,煥,瓛,瘓,浣,捥,婠,皖,羦,獂,桓,萑,雈,逭,睆
woot	活,佸
wor	喎,窠,萵,堝,鍋,鉌,媧,踒,濄,龢,和,禍,渦,倭,涴,婑,盉,婐,窩,猧,禾
wu	烏,嗚,互,護,狐,污,戶,胡,湖,壺,滬,惡,弧,蝴,糊,芋,沍,楛,葫,捂,扈,汙,瓠,鄔,瑚,穫,歍,鎢,鬍,鄠,嫮,嫭,滸,衚,圬,臒,陓,冱,杇,魱,醐,芐,乎,岵,怙,枑,餬,洿,於,塢,鶦,鶘,祜,韄,頀,靰,猢,摀,楜
wui	會,回,匯,滙,薈,彙,偎,燴,僓,禬,佪,蛔,恛,洄,迴,痐,茴,蚘,猥,徊,煨,隈,渨,椳
wun	換,援,緩,喚,渙,腕,碗,豌,玩,奐,垣,惋,爰,洹,莞,輐,剜,翫,貆,媛,脘,湲,澣,抏,忨,豲,狟,峘,荁,塭,晥,煥,瓛,瘓,浣,捥,婠,皖,羦,獂,桓,萑,雈,逭,睆
wut	活,佸
#
ya	也,吔,廿,廾
yaai	踹
yaak	喫,窫,猰,吃
yai	曳,洩,踹,勩,跩,泄,抴,枻,枍,齥,齛,詍,拽,跇
yak	柚,糗
yam	音,任,飲,吟,陰,蔭,欽,鑫,嶔,飪,淫,婬,妊,銋,簷,窨,檐,廕,廞,瘖,霪,壬,坅,呥,冘,賃,鵀,顉,霒,衽,恁,荏,媕,崟,喑,紝,愔,腍,歆
yan	人,仁,引,印,忍,因,茵,恩,欣,隱,癮,殷,甄,認,韌,孕,刃,紉,軔,慇,夤,訢,戭,蹂,銦,姻,釁,縯,殥,朄,靷,禋,酳,蚓,荵,禸,牣,諲,忻,憖,寅,儿,洇,檃,闉,駰,炘,濦,垔,螾,胤,湮,氤,舋,堙,讔,黫,訒,仞,焮,裀,絪,听,昕,歅
yang	贏
yap	入,泣,邑,揖,熠,𦒉,翕,潝,唈,俋,浥,悒,挹,裛,湇,湆
yark	喫,吃
yat	一,壹,日,溢,液,掖,腋,鎰,馹,軼,劮,佚,逸,肸,泆,衵,佾
yau	有,又,右,友,由,尤,游,遊,誘,幼,郵,油,柔,悠,猶,猷,攸,佑,休,憂,優,幽,邱,祐,酋,揉,酉,咻,蚴,蚰,朽,魷,牖,鈾,釉,莠,蚯,囿,蹂,銪,鼬,槱,逌,糅,麀,黝,泅,鯈,鞣,貅,丘,柚,蓲,蝣,蝤,褎,疣,羑,宥,禸,优,訧,囮,呦,糗,輶,輮,沋,蕕,卣,冘,坵,狖,怮,怞,鵂,斿,懮,泑,庥,嚘,髹,繇,鄾,庮,浟,茠,纋,耰,櫌,尢,猷,葇,煣,侑,楢,楺
ye	夜,野,嘢,惹,耶,爺,椰,偌,冶,埜,喏,揶,廿,若,琊
yee	儀,二,弍,貳,兒,已,以,易,而,意,義,宜,誼,咦,姨,議,懿,疑,擬,異,耳,爾,移,怡,頤,倚,椅,綺,衣,依,伊,醫,皚,勩,褘,杝,儿,猗,荑,羡,飴,痍,禕,侇,佁,嶷,貽,矣,胰,猗,彝
yeh	野,嘢,夜,若,喏,惹,冶,耶,爺,椰,揶,邪,廾,斜,偌,琊,歋,射,玡,埜
yeng	贏,影
yeuk	若,約,虐,弱,葯,藥,蒻,躍,鶸,鑰,籲,箬,籥,曰,謔,汋,礿,龠,禴,瘧,瀹,蘥,爚,渃,鈅,鄀,篛,楉
yeung	樣,讓,揚,羊,洋,楊,陽,釀,養,仰,癢,氧,央,殃,秧,鞅,鴦,恙,蠰,怏,徉,禳,壤,鉠,攘,颺,鍚,泱,禓,嚷,佯,佒,坱,卬,抰,昜,瀁,柍,垟,烊,儴,勷,瀼,痒,煬,瘍,鸉,蘘,羕,穰,漾,瑒,鬤,蛘,暘
yeut	戉
yi	二,弍,貳,衣,依,𠵱,伊,咿,咦,姨,醫,以,已,議,耳,而,兒,移,怡,儀,易,異,意,迤,沂,袘,洱,劓,噫,誼,皚,食,飴,迆,痍,蛇,廙,偯,銕,鷖,擬,邇,勩,潩,瘞,翳,嫕,懿,彝,禕,嫛,銥,輀,鉺,踦,衪,臑,薿,薾,陑,耏,苡,圯,椅,倚,侇,栘,佴,樲,殪,扡,瑿,佁,杝,刵,匜,螔,瘱,儗,尒,异,施,夷,狋,洏,鴯,簃,駬,毉,鮞,薏,洟,柂,繄,咡,嶷,貽,扆,黟,栭,宧,桋,矣,她,爾,漪,珥,唲,眱,鐿,胰,齮,疑,貤,酏,猗,崺,陭,迻,胹,觺,綺,眙,羛,鸃,饐,黳,旖,鷾,義,羠,聏,袲,蛜,詒,郼,欹,肄,台,訑,宜,椸
yik	亦,奕,翼,液,逆,易,譯,役,疫,益,億,憶,抑,繹,掖,腋,蜴,弋,翌,壹,睪,膉,驛,馹,臆,肊,懌,艗,芅,杙,嶧,圛,黓,澺,燚,射,燡,斁,檍,嶷,鬩,垼,繶,帟,埸,瀷,鷊,鷁,醷,醳,鶂,翊,譺,弈,嗌
yim	炎,嫌,嚴,鹽,厭,驗,艷,豔,焰,燄,染,唵,閹,掩,閻,苒,蚺,蛅,醃,髯,淹,偃,奄,簷,饜,魘,釅,儼,檐,隒,裺,剡,腌,呥,噞,橪,俺,芫,弇,懨,姌,嬮,阽,厴,壛,龑,黤,閆,黭,爓,淊,崦,罨,冉,顩,焱,琰,棪,黶,灩,揜,渰,扊,猒
yin	言,然,現,演,延,研,賢,彥,燃,焉,烟,煙,宴,燕,見,兗,咽,妍,弦,蚿,嫣,涎,絃,舷,偃,堰,莧,戭,嚥,鼴,蜒,鄢,鴛,綖,蝘,蔫,鋧,躽,鋋,沇,諺,郔,殷,俔,閼,匽,衍,郾,唁,嬿,湮,酀,菸,唌,臙,巘,晛,鶠,讌,齞,筵,齴,狿,喭,醼,鰋,鷰,埏,曣,甗,峴,胭,烻,讞,傿,睍,驠,硯,揅,莚
ying	英,應,鷹,認,影,映,仍,形,型,刑,營,迎,凝,盈,塋,瑩,螢,縈,蠅,邢,楹,扔,陘,嬴,硎,嶸,嬰,贏,鸚,瓔,滎,纓,瀛,膺,賏,嚶,鉶,侀,瑛,櫻,艿,礽,謍,瀅,濴,霙,娙,鎣,景,熒,瀠,瀴,瀯,攖,癭,郢,陾,籯,媵,嫈
yip	葉,頁,業,孽,醃,曄,嘩,臬,靨,嶪,燁,鍱,擫,饁,鄴,偞,蠥,殗,楪
yit	熱,咽,噎,糱,臬,摰,孽,齧,蘗,槷,臲,抴,闑,謁,櫱,蠥,蠮,拽,嵲
yiu	要,搖,遙,擾,邀,腰,耀,謠,饒,姚,窈,繞,妖,夭,么,洮,吆,窯,嬈,僥,陶,堯,曜,鷕,銚,鷂,舀,嶢,杳,蟯,穾,襓,宎,扰,遶,蕘,徼,垚,祅,抭,殀,繇,燿,颻,騕,珧,鰩,傜,瑤,窔,鼘,喓,榣,眑,窅,偠,葽,猺,溔,隃,筄,媱,軺,徭,愮
yoh	喲,唷
yue	如,於,與,語,雨,預,餘,遇,予,宇,魚,漁,愚,譽,籲,輿,娛,喻,御,禦,与,乳,羽,于,瘀,寓,逾,孺,嶼,癒,芋,迂,榆,虞,俞,妤,馭,隅,汝,儒,噢,蝓,褕,諛,嫗,淤,雩,酗,盂,嚅,蠕,銣,萸,濡,齬,睮,羭,窳,縯,歟,窬,臾,燸,衧,薷,藇,陓,璵,籹,謣,余,噳,禹,禺,圉,貐,扜,踰,侞,鋙,玗,蕠,邘,蕍,杅,圄,圩,澦,以,庾,鑐,腴,覦,瑜,帤,蕷,鴽,俁,擩,嬬,洳,堉,女,峪,挐,醧,麌,饇,狳,竽,煦,敔,醹,堣,茹,蘌,媮,嵎,鸆,瘉,襦,齵,鰅,旟,舁,喁,偊,轝,愉,艅,萭,瑀,毹,牏,瘐,愈,畬,紆,諭,棜,斞,鄅,飫,隃,渝,鸒,湡,揄,袽,傴,豫,楀,寙,歈
yuen	原,源,元,完,員,圓,園,沿,軟,遠,院,怨,冤,緣,願,縣,袁,丸,苑,援,阮,宛,弦,惋,婉,衒,炫,爰,洹,鉛,鉉,隕,淵,猿,汍,蠕,懸,榬,騵,奫,轅,鴛,蝝,蝡,蝯,踠,媛,蜿,鳶,薳,瓀,倇,紈,耎,湲,玄,邧,芄,螈,刓,岏,羱,抏,伭,圜,夗,噮,忨,肙,芫,黿,盷,泫,壖,昡,朊,杬,鞙,沅,捖,垸,愿,蚖,眢,繯,礝,眴,堧,邍,鼘,烷,琄,鵷,惌,櫞,蜎,眩,瑗,畹,睕,琬,晼,菀,掾,鈆,嫄,楦,楥
yuet	月,越,粵,悅,閱,乙,穴,聿,玥,軏,釔,戉,曰,噦,樾,抈,刖,泧,爇,鳦,鉞
yui	裔,蕊,銳,緌,繠,佯,蕤,橤,叡,汭,擩,芮,垟,枘,桵,蚋,睿
yuk	郁,欲,育,玉,肉,獄,辱,浴,旭,慾,褥,毓,谷,鬻,頊,鈺,鄏,勗,蓐,燠,澳,鳿,縟,鋈,薁,隩,儥,堉,峪,彧,鵒,煜,勖,淯,昱,溽,沃,嗕
yun	潤,閏,撋,鞅
yung	容,用,佣,翁,嗡,勇,湧,擁,毧,融,踴,庸,傭,鏞,雍,茸,傛,蓉,溶,榕,熔,嵱,瑢,鎔,濃,鷛,戎,冗,壅,絨,鄘,甕,踊,臃,墉,蓊,癰,氄,澭,螉,噰,肜,涌,甬,狨,蕹,俑,顒,埇,雝,邕,蛹,鰫,灉,罋,鶲,廱,齆,瀜,慵,鰅,喁,茙,滃,羢,軵,塕,嗈,恿,饔
#
